Scientific name,Extinction date 
Lophorina intercedens,2019
Melaniparus griseiventris,2019
Pachycephalopsis poliosoma,2019
Phylloscopus ijimae,2019
Lepidothrix suavissima,2019
Ixos sumatranus,2019
Anthoscopus musculus,2019
Rhipidura tenebrosa,2019
Aplonis feadensis,2019
Sylvia boehmi,2019
Acanthidops bairdi,2019
Pheugopedius paucimaculatus,2019
Troglodytes ochraceus,2019
Catharus bicknelli,2019
Cichlopsis gularis,2019
Myadestes occidentalis,2019
Knipolegus cabanisi,2019
Myiarchus nuttingi,2019
Platyrinchus saturatus,2019
Vidua fischeri,2019
Zosterops rendovae,2019
Picumnus steindachneri,2019
Aulacorhynchus whitelianus,2019
Eclectus riedeli,2019
Eunymphicus uvaeensis,2019
Psitteuteles goldiei,2019
Ninox rudolfi,2019
Sula nebouxii,2019
Apaloderma vittatum,2019
Aegotheles savesi,2019
Antrostomus arizonae,2019
Eurostopodus nigripennis,2019
Chlorostilbon russatus,2019
Ducula salvadorii,2019
Crossoptilon harmani,2019
Scleroptila finschi,2019
Syrmaticus humiae,2019
Corythaixoides leopoldi,2019
Lophotis gindiana,2019
Xanthomixis cinereiceps,2019
Certhia manipurensis,2019
Cisticola haesitatus,2019
Drymocichla incana,2019
Eminia lepida,2019
Incana incana,2019
Neomixis striatigula,2019
Estrilda charmosyna,2019
Rhynchostruthus socotranus,2019
Leptasthenura pileata,2019
Macroagelaius imthurni,2019
Megalurulus rubiginosus,2019
Myzomela erythromelas,2019
Myzomela tristrami,2019
Moho braccatus,1993
Monarcha richardsii,2019
Cyornis ruckii,2019
Chalcomitra balfouri,2019
Oriolus consanguineus,2019
Coracornis sanghirensis,2019
Melaniparus albiventris,2019
Basileuterus trifasciatus,2019
Atlapetes nationi,2019
Passer insularis,2019
Hydrornis soror,2019
Polioptila californica,2019
Phyllastrephus albigularis,2019
Phyllastrephus cabanisi,2019
Aplonis grandis,2019
Lamprotornis unicolor,2019
Onychognathus frater,2019
Epinecrophylla gutturalis,2019
Euchrepomis spodioptila,2019
Microspingus erythrophrys,2019
Cinnycerthia olivascens,2019
Troglodytes rufociliatus,2019
Turdus maximus,2019
Zoothera dixoni,2019
Myiarchus apicalis,2019
Tunchiornis luteifrons,2019
Zosterops hypoxanthus,2019
Nonnula brunnea,2019
Picoides ramsayi,2019
Calonectris borealis,2019
Charmosyna rubrigularis,2019
Micropsitta finschii,2019
Pyrrhura egregia,2019
Tyto aurantia,2019
Anthracoceros montani,2019
Aerodramus infuscatus,2019
Apus balstoni,2019
Oxypogon cyanolaemus,2019
Ramphomicron dorsale,2019
Alopecoenas kubaryi,2019
Caloenas maculata,1928
Ectopistes migratorius,1905
Otidiphaps cervicalis,2019
Ptilinopus hernsheimi,2019
Ramphiculus marchei,2019
Clytoceyx rex,2019
Tanysiptera danae,2019
Coracias spatulatus,2019
Chrysococcyx flavigularis,2019
Aepypodius bruijnii,2019
Perdicula manipurensis,2019
Hypotaenidia insignis,2019
Mirafra angolensis,2019
Dicrurus sumatranus,2019
Lonchura melaena,2019
Anabazenops dorsalis,2019
Geositta antarctica,2019
Grallaria dignissima,2019
Icterus oberi,2019
Montecincla meridionalis,2019
Malia grata,2019
Microptilotis flavirictus,2019
Microptilotis montanus,2019
Myophonus castaneus,2019
Anthreptes orientalis,2019
Drepanornis bruijnii,2019
Myiothlypis conspicillata,2019
Arremon nigriceps,2019
Atlapetes melanocephalus,2019
Passer eminibey,2019
Turdinus marmoratus,2019
Heterocercus aurantiivertex,2019
Euplectes gierowii,2019
Ploceus temporalis,2019
Quelea cardinalis,2019
Atimastillas flavigula,2019
Eurillas gracilis,2019
Onychognathus walleri,2019
Epinecrophylla spodionota,2019
Euchrepomis humeralis,2019
Rhegmatorhina melanosticta,2019
Anisognathus melanogenys,2019
Laniisoma buckleyi,2019
Turdus lawrencii,2019
Turdus maranonicus,2019
Contopus nigrescens,2019
Sirystes albocinereus,2019
Zosterops kirki,2019
Cryptolybia olivacea,2019
Tricholaema frontata,2019
Celeus spectabilis,2019
Bolborhynchus ferrugineifrons,2019
Psittaculirostris salvadorii,2019
Ninox reyi,2019
Otus insularis,2019
Accipiter brachyurus,2019
Mearnsia novaeguineae,2019
Mearnsia picina,2019
Caprimulgus pulchellus,2019
Campylopterus phainopeplus,2019
Leucippus taczanowskii,2019
Colius leucocephalus,2019
Leptotila megalura,2019
Treron teysmannii,2019
Ceyx gentianus,2019
Carpococcyx viridis,2019
Pachycoccyx audeberti,2019
Microhierax latifrons,2019
Mitu salvini,2019
Megapodius layardi,2019
Arborophila hyperythra,2019
Arborophila javanica,2019
Arborophila rubrirostris,2019
Haematortyx sanguiniceps,2019
Lophura inornata,2019
Megacrex inepta,2019
Sarothrura watersi,2019
Tauraco schuettii,2019
Acrocephalus longirostris,2019
Calendulauda poecilosterna,2019
Mirafra hypermetra,2019
Coracina schistacea,2019
Edolisoma grayi,2019
Edolisoma salomonis,2019
Lalage polioptera,2019
Pericrocotus montanus,2019
Apalis chariessa,2019
Dendrocitta cinerascens,2019
Pipreola lubomirskii,2019
Granatina ianthinogaster,2019
Lonchura forbesi,2019
Lonchura leucosticta,2019
Lonchura spectabilis,2019
Neochmia evangelinae,2019
Phacellodomus sibilatrix,2019
Synallaxis maranonica,2019
Thripadectes ignobilis,2019
Grallaria rufocinerea,2019
Alcippe brunneicauda,2019
Garrulax treacheri,2019
Leiothrix laurinae,2019
Amphilais seebohmi,2019
Poodytes albolimbatus,2019
Sylvietta leucopsis,2019
Laniarius nigerrimus,2019
Clytomyias insignis,2019
Lichmera alboauricularis,2019
Myzomela caledonica,2019
Myzomela cineracea,2019
Myzomela melanocephala,2019
Myzomela sclateri,2019
Myiagra cervinicauda,2019
Myiagra ferrocyanea,2019
Symposiachrus barbatus,2019
Symposiachrus vidua,2019
Trochocercus bivittatus,2019
Brachypteryx saturata,2019
Cyornis poliogenys,2019
Cyornis sumatrensis,2019
Eumyias ruficrissa,2019
Myophonus melanurus,2019
Niltava sumatrana,2019
Tychaedon quadrivirgata,2019
Nectarinia bocagii,2019
Basileuterus cabanisi,2019
Atlapetes melanolaemus,2019
Rimator albostriatus,2019
Turdinus rufipectus,2019
Eugerygone rubra,2019
Gennaeodryas placens,2019
Phylloscopus sindianus,2019
Sericulus ardens,2019
Alophoixus ruficrissus,2019
Phyllastrephus fischeri,2019
Phyllastrephus strepitans,2019
Rubigula montis,2019
Rhipidura cockerelli,2019
Rhipidura melanolaema,2019
Rhipidura rufilateralis,2019
Lamprotornis iris,2019
Lamprotornis regius,2019
Speculipastor bicolor,2019
Thlypopsis inornata,2019
Cyphorhinus dichrous,2019
Pheugopedius sclateri,2019
Cochoa beccarii,2019
Mecocerculus minor,2019
Myiarchus cephalotes,2019
Zosterops atricapilla,2019
Brachygalba salmoni,2019
Dryocopus javensis,2019
Alisterus chloropterus,2019
Charmosyna margarethae,2019
Otus gurneyi,2019
Tyto inexspectata,2019
Accipiter meyerianus,2019
Anas wyvilliana,2019
Aerodramus maximus,2019
Hirundapus cochinchinensis,2019
Atthis ellioti,2019
Ducula melanochroa,2019
Geotrygon purpurata,2019
Macropygia mackinlayi,2019
Cacomantis aeruginosus,2019
Chalcites crassirostris,2019
Neomorphus radiolosus,2019
Surniculus musschenbroeki,2019
Penelope albipennis,2019
Megapodius decollatus,2019
Pternistis hildebrandti,2019
Aramides calopterus,2019
Tauraco fischeri,2019
Gerygone hypoxantha,2019
Coracina fortis,2019
Edolisoma dispar,2019
Edolisoma meyerii,2019
Edolisoma mindanense,2019
Edolisoma obiense,2019
Edolisoma parvulum,2019
Edolisoma remotum,2019
Chloropsis flavipennis,2019
Calamonastes simplex,2019
Orthotomus nigriceps,2019
Erythrura kleinschmidti,2019
Pseudocolaptes lawrencii,2019
Petrochelidon rufigula,2019
Lanius dorsalis,2019
Lanius souzae,2019
Turdoides hypoleuca,2019
Glycichaera fallax,2019
Lichmera squamata,2019
Myzomela rubrotincta,2019
Pycnopygius ixoides,2019
Carterornis pileatus,2019
Eutrichomyias rowleyi,2019
Anthus nattereri,2019
Anthus peruvianus,2019
Tmetothylacus tenellus,2019
Anthreptes anchietae,2019
Anthreptes griseigularis,2019
Anthreptes rhodolaemus,2019
Arachnothera flammifera,2019
Cinnyris oustaleti,2019
Catharopeza bishopi,2019
Myioborus chrysops,2019
Setophaga plumbea,2019
Atlapetes leucopis,2019
Junco vulcani,2019
Melozone occipitalis,2019
Illadopsis rufescens,2019
Trichastoma cinereiceps,2019
Phylloscopus humei,2019
Erythropitta novaehibernicae,2019
Euplectes diadematus,2019
Euplectes hartlaubi,2019
Ploceus angolensis,2019
Iole palawanensis,2019
Ixidia erythropthalmos,2019
Pycnonotus cinereifrons,2019
Salpornis salvadori,2019
Lamprotornis hildebrandti,2019
Sporophila atrirostris,2019
Tangara versicolor,2019
Cantorchilus zeledoni,2019
Turdus tephronotus,2019
Myiarchus semirufus,2019
Dasycrotapha speciosa,2019
Zosterops auriventer,2019
Zosterops buruensis,2019
Zosterops everetti,2019
Zosterops inornatus,2019
Zosterops minutus,2019
Zosterops nigrorum,2019
Zosterops novaeguineae,2019
Ardea insignis,2019
Eubucco steerii,2019
Trachyphonus erythrocephalus,2019
Tricholaema lacrymosa,2019
Dinopium everetti,2019
Megascops cooperi,2019
Ninox spilocephala,2019
Strix butleri,2019
Tyto soumagnei,2019
Crypturellus transfasciatus,2019
Leucocarbo campbelli,2019
Buceros mindanensis,2019
Bycanistes albotibialis,2019
Penelopides affinis,2019
Rhabdotorrhinus waldeni,2019
Batrachostomus septimus,2019
Amazilia boucardi,2019
Sternula saundersi,2019
Alopecoenas johannae,2019
Columba pallidiceps,2019
Columbina buckleyi,2019
Phapitreron brevirostris,2019
Phapitreron nigrorum,2019
Ptilinopus ponapensis,2019
Reinwardtoena browni,2019
Ceyx argentatus,2019
Tanysiptera nigriceps,2019
Todiramphus godeffroyi,2019
Todiramphus winchelli,2019
Surniculus velutinus,2019
Aepypodius arfakianus,2019
Talegalla fuscirostris,2019
Polyplectron schleiermacheri,2019
Porzana spiloptera,2019
Sarothrura ayresi,2019
Acrocephalus sechellensis,2019
Artamus insignis,2019
Chloropsis palawanensis,2019
Bathmocercus cerviniventris,2019
Orthotomus cinereiceps,2019
Orthotomus frontalis,2019
Prinia hypoxantha,2019
Snowornis cryptolophus,2019
Dicaeum everetti,2019
Dicaeum eximium,2019
Dicaeum quadricolor,2019
Prionochilus olivaceus,2019
Dicrurus striatus,2019
Carpodacus verreauxii,2019
Euphonia finschi,2019
Loxioides bailleui,2019
Spinus crassirostris,2019
Synallaxis tithys,2019
Grallaria flavotincta,2019
Grallaria haplonota,2019
Hirundo nigrorufa,2019
Irena tweeddalii,2019
Heterophasia desgodinsi,2019
Liocichla steerii,2019
Bradypterus brunneus,2019
Sylvietta ruficapilla,2019
Epthianura crocea,2019
Myzomela erythrina,2019
Myzomela pammelaena,2019
Philemon albitorques,2019
Philemon cockerelli,2019
Hypothymis coelestis,2019
Symposiachrus infelix,2019
Symposiachrus verticalis,2019
Terpsiphone cinnamomea,2019
Terpsiphone cyanescens,2019
Cyornis olivaceus,2019
Cyornis ruficauda,2019
Cyornis turcosus,2019
Eumyias panayensis,2019
Ficedula basilanica,2019
Kittacincla nigra,2019
Aethopyga bella,2019
Cinnyris bouvieri,2019
Leptocoma juliae,2019
Oriolus steerii,2019
Melaniparus rufiventris,2019
Pardaliparus amabilis,2019
Leucopeza semperi,2019
Rhynchospiza stolzmanni,2019
Pellorneum albiventre,2019
Ptilocichla falcata,2019
Erythropitta ussheri,2019
Phainoptila melanoxantha,2019
Alophoixus frater,2019
Hypsipetes everetti,2019
Hypsipetes rufigularis,2019
Rhipidura albiventris,2019
Rhipidura layardi,2019
Rhipidura semirubra,2019
Rhipidura superciliaris,2019
Sitta oenochlamys,2019
Elminia albicauda,2019
Chleuasicus atrosuperciliaris,2019
Macronus striaticeps,2019
Stachyris oglei,2019
Geokichla piaggiae,2019
Turdus bewsheri,2019
Turdus leucops,2019
Myiarchus oberi,2019
Ochthoeca salvini,2019
Phaeomyias tumbezana,2019
Pseudelaenia leucospodia,2019
Sterrhoptilus capitalis,2019
Yuhina humilis,2019
Thaumatibis gigantea,2019
Lybius leucogaster,2019
Chrysocolaptes erythrocephalus,2019
Mulleripicus fuliginosus,2019
Picumnus sclateri,2019
Veniliornis dignus,2019
Puffinus nativitatis,2019
Loriculus tener,2019
Ninox odiosa,2019
Phodilus assimilis,2019
Pseudastur occidentalis,2019
Haplophaedia assimilis,2019
Gygis microrhyncha,2019
Alopecoenas beccarii,2019
Cryptophaps poecilorrhoa,2019
Goura scheepmakeri,2019
Goura sclaterii,2019
Patagioenas albipennis,2019
Ramphiculus fischeri,2019
Rhynchortyx cinctus,2019
Alectoris magna,2019
Bonasa sewerzowi,2019
Grus nigricollis,2019
Acanthiza cinerea,2019
Gerygone ruficollis,2019
Sericornis arfakianus,2019
Sericornis rufescens,2019
Acrocephalus rufescens,2019
Aegithina nigrolutea,2019
Cracticus mentalis,2019
Edolisoma insperatum,2019
Prinia khasiana,2019
Cyanolyca pulchra,2019
Cyanolyca quindiuna,2019
Lipaugus uropygialis,2019
Dicaeum haematostictum,2019
Dicaeum hypoleucum,2019
Lonchura caniceps,2019
Sarcophanops steerii,2019
Carpodacus dubius,2019
Carpodacus rubicilloides,2019
Thripadectes holostictus,2019
Grallaria erythrotis,2019
Garrulax berthemyi,2019
Garrulax nuchalis,2019
Bradypterus barratti,2019
Cincloramphus macrurus,2019
Melanocharis longicauda,2019
Melanocharis versteri,2019
Oedistoma iliolophus,2019
Oedistoma pygmaeum,2019
Rhamphocharis crassirostris,2019
Caligavis subfrenata,2019
Microptilotis albonotatus,2019
Myzomela adolphinae,2019
Ptiloprora erythropleura,2019
Pycnopygius stictocephalus,2019
Myiagra castaneigularis,2019
Myiagra pluto,2019
Symposiachrus axillaris,2019
Anthus godlewskii,2019
Calliope tschebaiewi,2019
Phoenicurus alaschanicus,2019
Pinarornis plumosus,2019
Aethopyga flagrans,2019
Aethopyga magnifica,2019
Aethopyga pulcherrima,2019
Aethopyga shelleyi,2019
Arachnothera dilutior,2019
Nicator vireo,2019
Manucodia comrii,2019
Manucodia jobiensis,2019
Poecile superciliosus,2019
Myiothlypis euophrys,2019
Junco insularis,2019
Onychostruthus taczanowskii,2019
Pyrgilauda blanfordi,2019
Drymodes beccarii,2019
Heteromyias albispecularis,2019
Heteromyias armiti,2019
Heteromyias cinereifrons,2019
Plesiodryas albonotata,2019
Tregellasia leucops,2019
Phylloscopus poliocephalus,2019
Erythropitta caeruleitorques,2019
Erythropitta kochi,2019
Erythropitta palliceps,2019
Pitta steerii,2019
Ploceus albinucha,2019
Ploceus subpersonatus,2019
Scenopoeetes dentirostris,2019
Phyllastrephus flavostriatus,2019
Phyllastrephus fulviventris,2019
Lamprolia klinesmithi,2019
Rhipidura atra,2019
Rhipidura kubaryi,2019
Rhipidura obiensis,2019
Rhipidura personata,2019
Horornis ruficapilla,2019
Sitta magna,2019
Aplonis pelzelni,2019
Thamnophilus subfasciatus,2019
Creurgops dentatus,2019
Diglossa glauca,2019
Kleinothraupis calophrys,2019
Tangara argyrofenges,2019
Tangara fulvicervix,2019
Turdus kessleri,2019
Anairetes flavirostris,2019
Myiotheretes fuscorufus,2019
Silvicultrix pulchella,2019
Urocynchramus pylzowi,2019
Zosterops chrysolaemus,2019
Zosterops ponapensis,2019
Plegadis ridgwayi,2019
Capito squamatus,2019
Colaptes atriceps,2019
Pterodroma phaeopygia,2019
Hapalopsittaca pyrrhops,2019
Primolius couloni,2019
Psittacula eques,2019
Eudyptes schlegeli,2019
Otus beccarii,2019
Accipiter melanochlamys,2019
Accipiter ovampensis,2019
Circus spilothorax,2019
Eutriorchis astur,2019
Harpyopsis novaeguineae,2019
Megatriorchis doriae,2019
Anas eatoni,2019
Aegotheles affinis,2019
Aegotheles bennettii,2019
Aegotheles insignis,2019
Aerodramus terraereginae,2019
Caprimulgus manillensis,2019
Sterna virgata,2019
Gallinago andina,2019
Alopecoenas jobiensis,2019
Chrysoena viridis,2019
Macropygia nigrirostris,2019
Ptilinopus gestroi,2019
Ptilinopus melanospilus,2019
Atelornis crossleyi,2019
Centropus chalybeus,2019
Chalcites ruficollis,2019
Microdynamis parva,2019
Lyrurus mlokosiewiczi,2019
Rallicula leucospila,2019
Crossleyia xanthophrys,2019
Xanthomixis zosterops,2019
Habia cristata,2019
Ptilorrhoa castanonota,2019
Schistolais leucopogon,2019
Cyanocorax yucatanicus,2019
Cyanolyca argentigula,2019
Emberiza cabanisi,2019
Geocerthia serrana,2019
Geositta saxicolina,2019
Lanius phoenicuroides,2019
Actinodura ramsayi,2019
Locustella mandelli,2019
Locustella seebohmi,2019
Amytornis goyderi,2019
Bolemoreus frenatus,2019
Gymnomyza viridis,2019
Melidectes leucostephes,2019
Melidectes ochromelas,2019
Meliphacator provocator,2019
Melithreptus laetior,2019
Myzomela cruentata,2019
Philemon meyeri,2019
Xanthotis macleayanus,2019
Clytorhynchus nigrogularis,2019
Grallina bruijnii,2019
Myiagra azureocapilla,2019
Terpsiphone rufocinerea,2019
Nesospingus speculiferus,2019
Ornorectes cristatus,2019
Pachycephala hyperythra,2019
Pachycephala leucogastra,2019
Oreocharis arfaki,2019
Ammospiza nelsoni,2019
Atlapetes taczanowskii,2019
Amalocichla incerta,2019
Devioeca papuana,2019
Neodrepanis coruscans,2019
Philepitta schlegeli,2019
Hydrornis gurneyi,2019
Neolestes torquatus,2019
Pycnonotus davisoni,2019
Rhagologus leucostigma,2019
Acridotheres albocinctus,2019
Cnemoscopus chrysogaster,2019
Spelaeornis chocolatinus,2019
Stachyris roberti,2019
Deltarhynchus flammulatus,2019
Myiornis atricapillus,2019
Vireo nanus,2019
Zosterops explorator,2019
Zosterops fuscicapilla,2019
Pseudibis davisoni,2019
Hydrobates jabejabe,2019
Pterodroma externa,2019
Charmosyna amabilis,2019
Micropsitta bruijnii,2019
Micropsitta keiensis,2019
Psittaculirostris cervicalis,2019
Glaucidium cobanense,2019
Glaucidium griseiceps,2019
Glaucidium tephronotum,2019
Megascops guatemalae,2019
Otus megalotis,2019
Scotopelia bouvieri,2019
Strix fulvescens,2019
Nothoprocta taczanowskii,2019
Leucocarbo verrucosus,2019
Anas fulvigula,2019
Aegotheles albertisi,2019
Coeligena dichroura,2019
Eriocnemis sapphiropygia,2019
Heliodoxa branickii,2019
Metallura eupogon,2019
Ducula chalconota,2019
Gymnophaps albertisii,2019
Ptilinopus huttoni,2019
Zentrygon lawrencii,2019
Centropus anselli,2019
Chalcites meyerii,2019
Penelope ortoni,2019
Megapodius geelvinkianus,2019
Talegalla jobiensis,2019
Arborophila mandellii,2019
Lophura bulweri,2019
Rallus obsoletus,2019
Rallus tenuirostris,2019
Pachycare flavogriseum,2019
Sericornis beccarii,2019
Artamus maximus,2019
Edolisoma incertum,2019
Edolisoma montanum,2019
Passerina rositae,2019
Ptilorrhoa leucosticta,2019
Prinia superciliaris,2019
Cormobates placens,2019
Garrulus leucotis,2019
Podoces biddulphi,2019
Doliornis sclateri,2019
Dicaeum geelvinkianum,2019
Dicaeum keiense,2019
Elachura formosa,2019
Emberiza godlewskii,2019
Cryptospiza reichenovii,2019
Carpodacus stoliczkae,2019
Leucosticte atrata,2019
Asthenes hudsoni,2019
Asthenes pudibunda,2019
Asthenes virgata,2019
Certhiaxis mustelinus,2019
Cranioleuca subcristata,2019
Synallaxis hypospodia,2019
Synallaxis subpudica,2019
Thripadectes scrutator,2019
Thripadectes virgaticeps,2019
Grallaria erythroleuca,2019
Garrulax cineraceus,2019
Garrulax galbanus,2019
Heterophasia pulchella,2019
Sibia waldeni,2019
Trochalopteron milnei,2019
Trochalopteron virgatum,2019
Laniarius luehderi,2019
Malurus alboscapulatus,2019
Myzomela rubrobrunnea,2019
Arses insularis,2019
Monarcha frater,2019
Myiagra atra,2019
Symposiachrus rubiensis,2019
Aleadryas rufinucha,2019
Orthonyx novaeguineae,2019
Pachycephala soror,2019
Arremon atricapillus,2019
Artemisiospiza nevadensis,2019
Atlapetes tricolor,2019
Gampsorhynchus torquatus,2019
Illadopsis cleaveri,2019
Laticilla cinerascens,2019
Schoeniparus dubius,2019
Pachycephalopsis hattamensis,2019
Peneothello bimaculata,2019
Peneothello cyanus,2019
Poecilodryas brachyura,2019
Phylloscopus maforensis,2019
Hydrornis elliotii,2019
Batis minulla,2019
Chlorocichla falkensteini,2019
Chaetorhynchus papuensis,2019
Lamprolia victoriae,2019
Rhipidura albolimbata,2019
Rhipidura kordensis,2019
Rhipidura leucothorax,2019
Rhipidura rufidorsa,2019
Sitta nagaensis,2019
Elminia nigromitrata,2019
Herpsilochmus motacilloides,2019
Microspingus trifasciatus,2019
Pseudospingus xanthophthalmus,2019
Sicalis raimondii,2019
Sporophila simplex,2019
Erythrogenys swinhoei,2019
Cinnycerthia fulva,2019
Turdus nigriceps,2019
Knipolegus signatus,2019
Ochthoeca thoracica,2019
Poecilotriccus pulchellus,2019
Pogonotriccus ophthalmicus,2019
Polioxolmis rufipennis,2019
Zosterops minor,2019
Zosterops mysorensis,2019
Zosterops uropygialis,2019
Psilopogon incognitus,2019
Aulacorhynchus calorhynchus,2019
Charmosyna wilhelminae,2019
Geoffroyus simplex,2019
Oreopsittacus arfaki,2019
Psittacula finschii,2019
Uroglaux dimorpha,2019
Accipiter henstii,2019
Anas albogularis,2019
Anas andium,2019
Bycanistes sharpii,2019
Rhyticeros narcondami,2019
Caprimulgus andamanicus,2019
Hylonympha macrocerca,2019
Lophornis stictolophus,2019
Charadrius sanctaehelenae,2019
Calidris ptilocnemis,2019
Ciconia boyciana,2019
Columba palumboides,2019
Ducula geelvinkiana,2019
Ceuthmochares australis,2019
Coccyzus euleri,2019
Coua olivaceiceps,2019
Dendragapus fuliginosus,2019
Tympanuchus pallidicinctus,2019
Coturnicops exquisitus,2019
Leptopoecile sophiae,2019
Calandrella acutirostris,2019
Mirafra microptera,2019
Certhia hodgsoni,2019
Apalis nigriceps,2019
Euphonia mesochrysa,2019
Leucosticte australis,2019
Asthenes humilis,2019
Asthenes palpebralis,2019
Cranioleuca albicapilla,2019
Margarornis stellatus,2019
Grallaria andicolus,2019
Lanius sphenocercus,2019
Melampitta lugubris,2019
Melidectes torquatus,2019
Melipotes gymnops,2019
Pycnopygius cinereus,2019
Toxostoma bendirei,2019
Drepanornis albertisi,2019
Paradisaea raggiana,2019
Myiothlypis striaticeps,2019
Chlorospingus semifuscus,2019
Peucaea carpalis,2019
Schoeniparus rufogularis,2019
Hydrornis oatesi,2019
Platysteira albifrons,2019
Ploceus superciliosus,2019
Prunella fulvescens,2019
Alophoixus griseiceps,2019
Brachypodius fuscoflavescens,2019
Remiz coronatus,2019
Teledromas fuscus,2019
Cercomacra carbonaria,2019
Hypocnemis subflava,2019
Oneillornis lunulatus,2019
Chlorochrysa nitidissima,2019
Iridosornis jelskii,2019
Kleinothraupis auricularis,2019
Nesospiza acunhae,2019
Xenodacnis parina,2019
Cyanoderma rufifrons,2019
Erythrogenys gravivox,2019
Pomatorhinus ochraceiceps,2019
Stachyris humei,2019
Cinnycerthia peruana,2019
Geokichla princei,2019
Casiornis fuscus,2019
Hemitriccus rufigularis,2019
Inezia subflava,2019
Mecocerculus poecilocercus,2019
Nephelomyias ochraceiventris,2019
Pogonotriccus orbitalis,2019
Pseudocolopteryx acutipennis,2019
Rhytipterna immunda,2019
Tolmomyias viridiceps,2019
Zimmerius cinereicapilla,2019
Pachysylvia muscicapina,2019
Ixobrychus eurhythmus,2019
Puffinus persicus,2019
Amazona bodini,2019
Charmosyna josefinae,2019
Loriculus aurantiifrons,2019
Loriculus catamene,2019
Psittacella brehmii,2019
Psittacella modesta,2019
Heteroglaux blewitti,2019
Ninox obscura,2019
Otus balli,2019
Otus brucei,2019
Otus icterorhynchus,2019
Otus siaoensis,2019
Crypturellus bartletti,2019
Nothoprocta curvirostris,2019
Phalacrocorax featherstoni,2019
Cryptoleucopteryx plumbea,2019
Anorrhinus austeni,2019
Caprimulgus phalaena,2019
Heliangelus micraster,2019
Heliodoxa whitelyana,2019
Alopecoenas canifrons,2019
Chrysoena victor,2019
Columba bollii,2019
Cuculus crassirostris,2019
Polihierax insignis,2019
Syrmaticus ellioti,2019
Zapornia bicolor,2019
Coracina dobsoni,2019
Edolisoma monacha,2019
Edolisoma nesiotis,2019
Lalage leucopygialis,2019
Orthotomus castaneiceps,2019
Dicaeum retrocinctum,2019
Dicaeum vincens,2019
Parmoptila rubrifrons,2019
Agraphospiza rubescens,2019
Spinus thibetanus,2019
Locustella major,2019
Myzomela chloroptera,2019
Myophonus blighi,2019
Oenanthe albonigra,2019
Saxicola macrorhynchus,2019
Pachycephala philippinensis,2019
Pachycephala sulfuriventer,2019
Geothlypis chiriquensis,2019
Passer ammodendri,2019
Illadopsis rufipennis,2019
Pellorneum palustre,2019
Petroica traversi,2019
Phylloscopus subviridis,2019
Phylloscopus tytleri,2019
Dyaphorophyia blissetti,2019
Hypsipetes aureus,2019
Hemitesia pallidipes,2019
Horornis brunnescens,2019
Sitta tephronota,2019
Paradoxornis heudei,2019
Sylvia melanothorax,2019
Knipolegus hudsoni,2019
Zosterops ceylonensis,2019
Zosterops hypolais,2019
Zosterops oleagineus,2019
Chrysocolaptes xanthocephalus,2019
Picus sharpei,2019
Bubo shelleyi,2019
Pyrroglaux podargina,2019
Apteryx haastii,2019
Rhinopomastus castaneiceps,2019
Cypsiurus gracilis,2019
Gactornis enarratus,2019
Amazilia viridifrons,2019
Chaetocercus bombus,2019
Coeligena osculans,2019
Eupherusa poliocerca,2019
Larus bulleri,2019
Saundersilarus saundersi,2019
Scolopax rosenbergii,2019
Alopecoenas hoedtii,2019
Ptilinopus ornatus,2019
Ptilinopus rarotongensis,2019
Ptilinopus speciosus,2019
Tanysiptera carolinae,2019
Bambusicola fytchii,2019
Rheinardia ocellata,2019
Pareudiastes pacificus,2019
Rallicula rubra,2019
Aphelocephala pectoralis,2019
Lalage leucoptera,2019
Podoces hendersoni,2019
Carpodacus edwardsii,2019
Carpodacus trifasciatus,2019
Carpodacus vinaceus,2019
Crithagra leucoptera,2019
Asthenes wyatti,2019
Grallaria griseonucha,2019
Icterus laudabilis,2019
Locustella tacsanowskia,2019
Machaerirhynchus nigripectus,2019
Myzomela rosenbergii,2019
Timeliopsis fulvigula,2019
Timeliopsis griseigula,2019
Mimus graysoni,2019
Moho nobilis,1934
Pomarea dimidiata,2019
Symposiachrus brehmii,2019
Bradornis ussheri,2019
Calliope pectardens,2019
Monticola sharpei,2019
Aethopyga duyvenbodei,2019
Daphoenositta papuensis,2019
Melanorectes nigrescens,2019
Pachycephala schlegelii,2019
Pseudopodoces humilis,2019
Myioborus albifrons,2019
Atlapetes meridae,2019
Peucaea sumichrasti,2019
Passer cordofanicus,2019
Pyrgilauda davidiana,2019
Pyrgilauda ruficollis,2019
Monachella muelleriana,2019
Phylloscopus tephrocephalus,2019
Erythropitta arquata,2019
Pitta rosenbergii,2019
Batis orientalis,2019
Promerops gurneyi,2019
Amblyornis inornata,2019
Iole finschii,2019
Anthoscopus caroli,2019
Rhipidura brachyrhyncha,2019
Horornis acanthizoides,2019
Sitta cashmirensis,2019
Aplonis cinerascens,2019
Aplonis magna,2019
Neocichla gutturalis,2019
Paradoxornis guttaticollis,2019
Rhopophilus albosuperciliaris,2019
Sinosuthora brunnea,2019
Sinosuthora conspicillata,2019
Hylorchilus sumichrasti,2019
Geokichla crossleyi,2019
Elaenia gigas,2019
Euscarthmus fulviceps,2019
Myiarchus yucatanensis,2019
Ochthoeca nigrita,2019
Ochthoeca superciliosa,2019
Phyllomyias griseiceps,2019
Pyrocephalus dubius,1987
