Scientific name,Extinction date 
Certhia tianquanensis,2019
Phylloscopus emeiensis,2019
Formicivora acutirostris,2019
Phylloscartes beckeri,2019
Glaucidium parkeri,2019
Nyctiprogne vielliardi,2019
Charadrius aquilonius,2019
Xenoperdix udzungwensis,2019
Doliornis remseni,2019
Scytalopus schulenbergi,2019
Pomarea nukuhivae,1954
Atlapetes terborghi,2019
Phylloscopus hainanus,2019
Cypseloides storeri,2019
Todiramphus gambieri,1922
Caracara lutosa,1903
Carpodacus sillemi,2019
Grallaria kaestneri,2019
Phylloscopus yunnanensis,2019
Phylloscartes kronei,2019
Ixobrychus novaezelandiae,1898
Diomedea antipodensis,2019
Hypotaenidia rovianae,2019
Cisticola guinea,2019
Philydor novaesi,2011
Pnoepyga immaculata,2019
Zoothera terrestris,1859
Nannopsittaca dachilleae,2019
Glaucidium bolivianum,2019
Glaucidium peruanum,2019
Caprimulgus prigoginei,2019
Gallinula nesiotis,1890
Asthenes luizae,2019
Ploceus burnieri,2019
Cercomacra manu,2019
Clytoctantes atrogularis,2019
Zosterornis latistriatus,2019
Glaucidium hardyi,2019
Phaethornis major,2019
Melamprosops phaeosoma,2004
Microptilotis fordianus,2019
Eleoscytalopus psychopompus,2019
Hydrobates macrodactylus,1917
Amazona kawalli,2019
Megascops hoyi,2019
Himatione fraithii,1923
Chasiempis ibidis,2019
Pogonotriccus lanyoni,2019
Pyrrhura orcesi,2019
Haematopus meadewaldoi,1945
Grallaria blakei,2019
Horornis carolinae,2019
Tangara phillipsi,2019
Phylloscartes ceciliae,2019
Pyrrhura subandina,1949
Herpsilochmus parkeri,2019
Zosterops semiflavus,1900
Psittacula wardi,1900
Megascops petersoni,2019
Coeligena eisenmanni,2019
Petrochelidon perdita,2019
Myrmotherula snowi,2019
Tangara meyerdeschauenseei,2019
Pheugopedius eisenmanni,2019
Pheugopedius schulenbergi,2019
Pyrrhura eisenmanni,2019
Nestor productus,1870
Crypturellus occidentalis,2019
Drepanis funerea,1928
Cranioleuca weskei,2019
Batis occulta,2019
Laterallus tuerosi,2019
Grallaricula ochraceifrons,2019
Megalurulus llaneae,2019
Bolemoreus hindwoodi,2019
Cinnyris rufipennis,2019
Terenura sicki,2019
Diomedea amsterdamensis,2019
Glaucidium albertinum,2019
Mirafra ashi,2019
Grallaria carrikeri,2019
Ploceus ruweti,2019
Zoothera atrigena,2019
Vidua larvaticola,2019
Vidua maryae,2019
Vidua raricola,2019
Megascops koepckeae,2019
Tachyeres leucocephalus,2019
Hypotaenidia okinawae,2019
Acrocephalus yamashinae,1969
Montifringilla henrici,2019
Melignomon eisentrauti,2019
Megascops marshalli,2019
Metallura odomae,2019
Lipaugus conditus,2019
Atlapetes paynteri,2019
Hydrobates cheimomnestes,2019
Heliangelus regalis,2019
Crithagra ankoberensis,2019
Cinclodes olrogi,2019
Hemitriccus cinnamomeipectus,2019
Xolmis salinarum,2019
Prosobonia cancellata,1830
Hemignathus lucidus,1880
Urile perspicillatus,1852
Phaethornis koepckeae,2019
Asthenes perijana,2019
Henicorhina leucoptera,2019
Xenoglaux loweryi,2019
Coenocorypha iredalei,1964
Hypotaenidia wakensis,1946
Sitta ledanti,2019
Nephelornis oneilli,2019
Psittacara maugei,1900
Aerodramus sawtelli,2019
Todiramphus ruficollaris,2019
Coturnix novaezelandiae,1875
Acrocephalus kerearako,2019
Prinia fluviatilis,2019
Malimbus ballmanni,2019
Cnemathraupis aureodorsalis,2019
Kleinothraupis parodii,2019
Poospiza rufosuperciliaris,2019
Podiceps gallardoi,2019
Porphyrio mantelli,1894
Symposiachrus sacerdotum,2019
Lamprotornis violacior,2019
Sporophila melanops,1916
Hylorchilus navai,2019
