"","year","S","E","d","X_lo","X_hi","X_mean","U_lo","U_hi","U_mean","U_old","X_old","mu_estimate"
"20",1876,8059,23,110,21,97,53.3938,3003,3012,3006.0826,3011.70909441089,41.9345693082723,0.000124084874053853
"21",1877,8168,24,251,22,97,53.6559,2893,2902,2895.8205,2901.33538686722,42.3082768519389,0.000122428991185113
"22",1880,8418,25,267,22,97,53.8944,2642,2650,2644.582,2649.98017930272,42.6634844164428,0.000118793062485151
"23",1884,8684,26,58,22,97,54.1067,2375,2383,2377.3697,2382.66538004169,42.9782836774671,0.000115154306771073
"24",1885,8741,27,191,22,98,54.2616,2317,2325,2319.2148,2324.39100586159,43.2526578575735,0.000114403386340236
"25",1889,8931,28,59,23,98,54.3929,2126,2133,2128.0835,2133.12508765934,43.5185760598229,0.000111969544283955
"26",1890,8989,29,125,22,98,54.4731,2067,2074,2069.0033,2073.88624261537,43.7574211037886,0.000111247079764156
"27",1892,9113,30,134,22,98,54.5003,1942,1949,1943.9761,1948.65552882712,43.9881348920426,0.000438933391857786
"28",1894,9243,34,59,23,98,55.0294,1808,1814,1809.447,1813.80019884629,44.843464872873,0.000324569944823109
"29",1895,9299,37,49,23,99,55.3569,1749,1754,1750.1195,1754.21149381583,45.4321699033328,0.000215076889988171
"30",1896,9346,39,106,24,99,55.5327,1700,1705,1700.9437,1704.83420346336,45.8094602558042,0.000106997646051787
"31",1898,9451,40,94,24,99,55.548,1594,1599,1594.9284,1598.65179021668,45.9918735024835,0.000211617818220294
"32",1900,9543,42,62,24,99,55.6682,1500,1504,1500.8082,1504.31348701274,46.3301767064231,0.000419155401865242
"33",1901,9601,46,94,24,99.0249999999996,55.9731,1438,1441,1438.5033,1441.68294588856,46.9607178306032,0.00020831163420477
"34",1903,9693,48,38,24,100,56.0783,1344,1347,1344.3981,1347.3826265581,47.2610371610665,0.000103167234086454
"35",1904,9730,49,43,24,99,56.1044,1306,1309,1306.372,1309.24362081926,47.4000428999045,0.000102774922918808
"36",1905,9772,50,54,24,100,56.1205,1263,1266,1263.3559,1266.10906340705,47.534600312116,0.000204666393778142
"37",1906,9824,52,47,24,100,56.2024,1209,1211,1209.274,1211.84993343091,47.7937302882533,0.000101791530944625
"38",1907,9870,53,83,24,100,56.2303,1162,1164,1162.2461,1164.72657737091,47.9170863482523,0.000101317122593718
"39",1910,9952,54,79,24,100,56.2458,1079,1081,1079.2306,1081.60857062548,48.03509309368,0.00020096463022508
"40",1912,10029,56,45,24,100,56.2994,1000,1002,1000.177,1002.39120555904,48.252458160124,9.97108385681524e-05
"41",1914,10073,57,18,24,100,56.3191,955,957,955.1573,957.291256291358,48.3524074278037,9.92752903802244e-05
"42",1915,10090,58,17,24,100,56.3283,937,939,937.1481,939.196220923911,48.4474427952505,9.91080277502478e-05
"43",1916,10106,59,21,24,100,56.3404,920,922,920.136,922.103139038785,48.5405246803767,9.89511181476351e-05
"44",1917,10126,60,8,24,100,56.3536,899,900,899.1228,901.01189590213,48.631767817032,9.8755678451511e-05
"45",1918,10133,61,98,24,100,56.3571,891,892,891.1193,892.922915861057,48.7207478581047,9.86874568242376e-05
"46",1922,10230,62,19,24,100,56.3582,793,794,793.1182,794.834795569351,48.8088681498111,0.000293255131964809
"47",1923,10246,65,104,24,100,56.4014,774,775,774.075,775.601706186486,49.0419575326761,9.75990630489947e-05
"48",1928,10349,66,122,24,100,56.404,670,671,670.0724,671.526008186663,49.117655532499,0.000289883080490869
"49",1932,10468,69,39,24,100,56.439,548,549,548.0374,549.33134415878,49.3123195603819,9.55292319449752e-05
"50",1934,10506,70,29,24,100,56.4419,509,510,509.0345,510.278866957389,49.3647967617727,9.51837045497811e-05
"51",1936,10534,71,44,24,100,56.4391,480,481,480.0373,481.230296724479,49.4133669946831,0.000189861401177141
"52",1939,10576,73,13,24,100,56.4461,436,437,436.0303,437.138929666054,49.5047340531082,9.4553706505295e-05
"53",1940,10588,74,28,24,100,56.4469,423,424,423.0295,424.097596559996,49.5460671591658,0.000188893086513034
"54",1944,10614,76,8,24,100,56.4548,395,395,395.0216,396.017487455999,49.6261762631628,9.42151874882231e-05
"55",1945,10621,77,6,24,100,56.4566,387,387,387.0198,387.98017659417,49.6634871249921,9.41530929291027e-05
"56",1946,10626,78,24,24,100,56.4559,381,381,381.0205,381.943647060548,49.7000166586136,0.000188217579521927
"57",1949,10648,80,6,24,100,56.4617,357,357,357.0147,357.871758551785,49.7719051673771,9.39143501126972e-05
"58",1950,10653,81,15,24,100,56.4627,351,351,351.0137,351.838149258157,49.8055144610052,9.3870271285084e-05
"59",1952,10667,82,7,24,100,56.463,336,336,336.0134,336.805122115637,49.8385416035245,9.37470704040499e-05
"60",1954,10673,83,10,24,100,56.4637,329,329,329.0127,329.773547622142,49.8701160970199,9.3694368968425e-05
"61",1955,10682,84,3,24,100,56.4651,319,319,319.0113,319.742649697695,49.9010140214669,9.36154278225052e-05
"62",1956,10684,85,31,24,100,56.4664,316,316,316.01,316.71271685275,49.9309468664114,9.35979034069637e-05
"63",1960,10714,86,4,24,100,56.4672,285,285,285.0092,285.683073206471,49.9605905126912,9.33358222885944e-05
"64",1961,10717,87,6,24,100,56.4669,281,281,281.0095,281.656408741919,49.9872549772428,9.33096948772977e-05
"65",1963,10722,88,9,24,100,56.4671,275,275,275.0093,275.630127468359,50.0135362508028,9.32661816825219e-05
"66",1964,10730,89,13,24,100,56.4681,266,266,266.0083,266.604420498813,50.0392432203484,9.31966449207829e-05
"67",1967,10742,90,6,24,100,56.467,253,253,253.0094,253.579573861302,50.0640898578599,0.00018618506795755
"68",1968,10746,92,5,24,100,56.4678,247,247,247.0086,247.53236113111,50.1113025880519,9.30578820026056e-05
"69",1969,10750,93,3,24,100,56.4679,242,242,242.0085,242.509326293856,50.1343374253059,0.000186046511627907
"70",1970,10751,95,9,24,100,56.4685,239,239,239.0079,239.464208279662,50.1794554395001,0.000186029206585434
"71",1972,10758,97,4,24,100,56.4707,230,230,230.0057,230.41966094299,50.224002776172,0.000185908161368284
"72",1973,10760,99,12,24,100,56.4724,226,226,226.004,226.376824047481,50.266839671681,9.29368029739777e-05
"73",1976,10771,100,9,24,100,56.472,214,214,214.0044,214.355785309186,50.2878784099754,9.28418902608857e-05
"74",1979,10779,101,17,24,100,56.4716,205,205,205.0048,205.33588411289,50.3077796062719,9.27729845069116e-05
"75",1982,10795,102,9,24,100,56.471,188,188,188.0054,188.316834490094,50.3268292290674,9.26354793886058e-05
"76",1983,10803,103,10,24,100,56.4716,179,179,179.0048,179.299389669855,50.3442740493073,0.000185133759140979
"77",1985,10811,105,2,24,100,56.4715,169,169,169.0049,169.266195299833,50.3774684193286,0.000277495143834983
"78",1986,10810,108,4,24,100,56.473,167,167,167.0034,167.219224752622,50.4244389665397,9.25069380203515e-05
"79",1987,10813,109,3,24,100,56.4722,163,163,163.0042,163.203755814162,50.4399079049997,0.000277443817626931
"80",1988,10813,112,5,24,100,56.4743,160,160,160.0021,160.158475941098,50.4851877780639,9.24812725423102e-05
"81",1989,10817,113,7,24,100,56.4746,155,155,155.0018,155.143664281434,50.4999994377274,9.24470740501063e-05
"82",1990,10823,114,6,24,100,56.4746,148,148,148.0018,148.129321703614,50.5143420155476,0.000184791647417537
"83",1991,10827,116,8,24,100,56.4748,142,142,142.0016,142.101948642226,50.541715076936,9.23616883716634e-05
"84",1993,10834,117,5,24,100,56.4749,134,134,134.0015,134.088823866328,50.5548398528335,9.23020121838656e-05
"85",1994,10838,118,6,24,100,56.4742,129,129,129.0022,129.076447198074,50.5672165210878,9.22679461155195e-05
"86",1995,10843,119,15,24,100,56.4739,123,123,123.0025,123.064537579399,50.5791261397626,0.0001844507977497
"87",1997,10856,121,10,24,100,56.4746,108,108,108.0018,108.041838227268,50.6018254918938,9.21149594694178e-05
"88",1998,10865,122,14,24,100,56.4744,98,98,98.002,98.0318859577187,50.6117777614431,9.2038656235619e-05
"89",2000,10878,123,15,24,100,56.4736,84,84,84.0028,84.0228632346669,50.6208004844949,9.19286633572348e-05
"90",2003,10892,124,6,24,100,56.4722,69,69,69.0042,69.0151391251583,50.6285245940036,9.18105031215571e-05
"91",2004,10897,125,30,24,100,56.473,63,63,63.0034,63.0088028105122,50.6348609086496,9.17683766174176e-05
"92",2011,10926,126,33,24,100,56.4728,33,33,33.0036,33.0030205949657,50.6406431241962,9.15248032216731e-05
"93",2019,10958,127,NA,24,100,56.4764,0,0,0,0,50.6436637191619,NA
