"","year","S","E","d","X_lo","X_hi","X_mean","U_lo","U_hi","U_mean","U_old","X_old","mu_estimate"
"1",1784,1103,0,533,0,0,0,10006,10082,10038.4764,10032.6436637192,0,0.000906618313689937
"2",1790,1635,1,334,0,45,13.1055,9467,9526,9492.4177,9490.54788523891,9.09577848025401,0.000611620795107034
"3",1812,1968,2,503,1,58,21.2765,9129,9178,9150.211,9150.74326879534,14.9003949238249,0.000508130081300813
"4",1820,2470,3,746,3,67,27.709,8623,8664,8640.7707,8643.0935008742,19.5501628449601,0.000404858299595142
"5",1828,3215,4,196,6,74,32.5618,7874,7910,7889.9151,7893.5942727362,23.0493909829656,0.00031104199066874
"6",1830,3410,5,354,8,78,35.7154,7677,7709,7690.7611,7695.13903346007,25.504630259089,0.000293255131964809
"7",1834,3763,6,92,10,81,38.6385,7321,7350,7333.8379,7338.88239444733,27.761269271834,0.000265745415891576
"8",1835,3854,7,1222,12,83,41.1406,7228,7254,7239.3358,7244.93212009324,29.7115436259255,0.000259470679813181
"9",1844,5075,8,868,14,86,43.5069,6005,6028,6014.9695,6021.05227263084,31.5913910883264,0.000197044334975369
"10",1852,5942,9,136,15,88,44.8701,5136,5158,5145.6063,5151.86585838992,32.7778053292386,0.000336587007741501
"11",1854,6076,11,118,16,90,46.6145,4999,5019,5007.8619,5014.13180727636,34.5118564427994,0.000164581961816985
"12",1855,6193,12,80,17,91,47.4548,4881,4900,4889.0216,4895.30657162671,35.3370920924499,0.000161472630389149
"13",1856,6272,13,302,17,92,48.2635,4801,4818,4808.2129,4814.51611359803,36.1275501211312,0.000159438775510204
"14",1859,6573,14,119,18,92.0249999999996,48.9861,4498,4515,4505.4903,4511.7484930442,36.8951706749576,0.000304275064658451
"15",1860,6690,16,321,19,94,50.2514,4379,4394,4385.225,4391.37568047976,38.2679832394015,0.000298953662182362
"16",1864,7009,18,324,20,95,51.4797,4058,4071,4062.9967,4069.06286263806,39.5808010810997,0.000142673705236125
"17",1868,7332,19,174,20,95,52.0009,3734,3746,3738.4755,3744.48231436261,40.161349356551,0.000136388434260775
"18",1870,7505,20,443,21,96,52.4289,3560,3571,3564.0475,3569.97161028264,40.672053436524,0.000133244503664224
"19",1875,7947,21,114,21,96.0249999999996,52.796,3117,3127,3120.6804,3126.49593118733,41.1477325318315,0.000251667295834906
