species,description_year,extinction_year
Climacteris.affinis,1864,NA
Climacteris.erythrops,1841,NA
Climacteris.melanurus,1843,NA
Climacteris.picumnus,1824,NA
Climacteris.rufus,1841,NA
Collocalia.esculenta,1758,NA
Collocalia.spodiopygia,1848,NA
Colluricincla.boweri,1885,NA
Colluricincla.harmonica,1801,NA
Colluricincla.megarhyncha,1830,NA
Colluricincla.woodwardi,1905,NA
Columba.leucomela,1821,NA
Columba.livia,1789,NA
Conopophila.albogularis,1843,NA
Conopophila.rufogularis,1843,NA
Conopophila.whitei,1910,NA
Coracina.lineata,1825,NA
Coracina.maxima,1839,NA
Coracina.novaehollandiae,1789,NA
Coracina.novaehollandiae,1789,NA
Coracina.papuensis,1788,NA
Coracina.tenuirostris,1831,NA
Corcorax.melanorhamphos,1817,NA
Cormobates.leucophaea,1801,NA
Corvus.bennetti,1901,NA
Corvus.coronoides,1827,NA
Corvus.mellori,1912,NA
Corvus.orru,1851,NA
Corvus.splendens,1817,NA
Corvus.tasmanicus,1912,NA
Coturnix.chinensis,1766,NA
Coturnix.pectoralis,1837,NA
Coturnix.ypsilophora,1792,NA
Cracticus.mentalis,1876,NA
Cracticus.nigrogularis,1837,NA
Cracticus.quoyi,1827,NA
Cracticus.torquatus,1801,NA
Cuculus.optatus,1845,NA
Cuculus.pallidus,1801,NA
Cyclopsitta.diophthalma,1841,NA
Cygnus.atratus,1790,NA
Dacelo.leachii,1826,NA
Dacelo.novaeguineae,1783,NA
Dacelo.novaeguineae,1783,NA
Daphoenositta.chrysoptera,1801,NA
Daption.capense,1758,NA
Dasyornis.brachypterus,1801,NA
Dasyornis.broadbenti,1902,NA
Dasyornis.longirostris,1841,NA
Dendrocygna.arcuata,1824,NA
Dendrocygna.eytoni,1838,NA
Dendrocygna.guttata,1866,NA
Dicaeum.hirundinaceum,1792,NA
Dicrurus.bracteatus,1842,NA
Diomedea.antipodensis,1992,NA
Diomedea.epomophora,1825,NA
Diomedea.exulans,1758,NA
Diomedea.sanfordi,1917,NA
Dromaius.ater,1817,1805
Dromaius.baudinianus,1984,1827
Dromaius.novaehollandiae,1790,NA
Drymodes.brunneopygia,1840,NA
Drymodes.superciliaris,1850,NA
Ducula.spilorrhoa,1858,NA
Eclectus.roratus,1776,NA
Eclectus.roratus,1776,NA
Egretta.garzetta,1766,NA
Egretta.novaehollandiae,1790,NA
Egretta.novaehollandiae,1790,NA
Egretta.sacra,1789,NA
Elanus.axillaris,1801,NA
Elanus.scriptus,1842,NA
Elseyornis.melanops,1818,NA
Emblema.pictum,1842,NA
Entomyzon.cyanotis,1801,NA
Eopsaltria.australis,1790,NA
Eopsaltria.georgiana,1830,NA
Eopsaltria.griseogularis,1838,NA
Eopsaltria.pulverulenta,1850,NA
Ephippiorhynchus.asiaticus,1790,NA
Epthianura.albifrons,1828,NA
Epthianura.aurifrons,1838,NA
Epthianura.crocea,1877,NA
Epthianura.tricolor,1841,NA
Eremiornis.carteri,1900,NA
Erythrogonys.cinctus,1838,NA
Erythrotriorchis.radiatus,1801,NA
Erythrura.gouldiae,1844,NA
