species,description_year,extinction_year
Margaritifera.falcata,1850,NA
Margaritifera.hembeli,1838,NA
Margaritifera.margaritifera,1758,NA
Margaritifera.marrianae,1983,NA
Medionidus.acutissimus,1831,NA
Medionidus.conradicus,1834,NA
Medionidus.parvulus,1860,NA
Medionidus.penicillatus,1857,NA
Medionidus.simpsonianus,1905,NA
Medionidus.walkeri,1897,NA
Megalonaias.nervosa,1820,NA
Obliquaria.reflexa,1820,NA
Obovaria.choctawensis,1964,NA
Obovaria.jacksoniana,1912,NA
Obovaria.olivaria,1820,NA
Obovaria.retusa,1819,NA
Obovaria.subrotunda,1820,NA
Obovaria.unicolor,1845,NA
Pegias.fabula,1838,NA
Plectomerus.dombeyanus,1827,NA
Plethobasus.cicatricosus,1829,NA
Plethobasus.cooperianus,1834,NA
Plethobasus.cyphyus,1820,NA
Pleurobema.athearni,2006,NA
Pleurobema.beadleianum ,1861,NA
Pleurobema.clava,1819,NA
Pleurobema.collina,1837,NA
Pleurobema.cordatum,1820,NA
Pleurobema.decisum,1831,NA
Pleurobema.georgianum,1841,NA
Pleurobema.georgianum,1841,NA
Pleurobema.hartmanianum,1860,NA
Pleurobema.oviforme,1834,NA
Pleurobema.perovatum,1834,NA
Pleurobema.plenum,1840,NA
Pleurobema.pyriforme,1857,NA
Pleurobema.riddellii,1861,NA
Pleurobema.rubrum,1820,NA
Pleurobema.sintoxia,1820,NA
Pleurobema.stabilis,1861,NA
Pleurobema.strodeanum,1898,NA
Pleuronaia.barnesiana,1838,NA
Pleuronaia.dolabelloides,1840,NA
Pleuronaia.gibberum,1838,NA
Popenaias.popei,1857,NA
Potamilus.alatus,1817,NA
Potamilus.amphichaenus,1898,NA
Potamilus.capax,1832,NA
Potamilus.inflatus,1831,NA
Potamilus.metnecktayi,1998,NA
Potamilus.ohiensis,1820,NA
Potamilus.purpuratus,1819,NA
Ptychobranchus.fasciolaris,1820,NA
Ptychobranchus.foremanianus,1842,NA
Ptychobranchus.greenii,1834,NA
Ptychobranchus.jonesi,1934,NA
Ptychobranchus.occidentalis,1836,NA
Ptychobranchus.subtentum,1825,NA
Pyganodon.cataracta,1817,NA
Pyganodon.fragilis,1819,NA
Pyganodon.gibbosa,1824,NA
Pyganodon.grandis,1829,NA
Pyganodon.lacustris,1852,NA
Quadrula.apiculata,1829,NA
Quadrula.asperata,1861,NA
Quadrula.aurea,1859,NA
Quadrula.cylindrica,1817,NA
Quadrula.fragosa,1835,NA
Quadrula.houstonensis,1859,NA
Quadrula.infucata,1834,NA
Quadrula.intermedia,1836,NA
Quadrula.kieneriana,1852,NA
Quadrula.kleiniana,1852,NA
Quadrula.metanevra,1820,NA
Quadrula.mortoni,1835,NA
Quadrula.nobilus,1854,NA
Quadrula.nodulata,1820,NA
Quadrula.petrina,1855,NA
Quadrula.pustulosa,1831,NA
Quadrula.quadrula,1820,NA
Quadrula.refulgens,1868,NA
Quadrula.rumphiana,1852,NA
Quadrula.sparsa,1841,NA
Quadrula.succissa,1852,NA
Quadrula.verrucosa,1820,NA
Simpsonaias.ambigua,1825,NA
Strophitus.connasaugaensis,1858,NA
Strophitus.subvexus,1834,NA
Strophitus.undulatus,1817,NA
Toxolasma.corvunculus,1868,NA
Toxolasma.cylindrellus,1868,NA
Toxolasma.lividum,1831,NA
Toxolasma.parvum,1823,NA
Toxolasma.paulum,1840,NA
Toxolasma.pullus,1838,NA
Toxolasma.texasensis,1857,NA
Truncilla.cognata,1860,NA
Truncilla.donaciformis,1828,NA
Truncilla.macrodon,1859,NA
Truncilla.truncata,1820,NA
Uniomerus.carolinianus,1801,NA
Uniomerus.columbensis,1857,NA
Uniomerus.declivis,1831,NA
Uniomerus.tetralasmus,1831,NA
Utterbackia.imbecillis,1829,NA
Utterbackia.peggyae,1965,NA
Utterbackia.peninsularis,1995,NA
Venustaconcha.ellipsiformis,1836,NA
Venustaconcha.pleasii,1891,NA
Villosa.amygdalum,1843,NA
Villosa.arkansasensis,1862,NA
Villosa.choctawensis,1964,NA
Villosa.constricta,1838,NA
Villosa.delumbis,1834,NA
Villosa.fabalis,1831,NA
Villosa.iris,1829,NA
Villosa.lienosa,1834,NA
Villosa.modioliformis,1834,NA
Villosa.nebulosa,1834,NA
Villosa.ortmanni,1925,NA
Villosa.perpurpurea,1861,NA
Villosa.taeniata,1834,NA
Villosa.trabalis,1834,NA
Villosa.umbrans,1857,NA
Villosa.vanuxemensis,1838,NA
Villosa.vaughaniana,1838,NA
Villosa.vibex,1834,NA
Villosa.villosa,1898,NA
