species,description_year,extinction_year
Pseudantechinus.mimulus,1906,NA
Pseudantechinus.ningbing,1988,NA
Pseudantechinus.roryi,2000,NA
Pseudantechinus.woolleyae,1988,NA
Pseudocheirus.occidentalis,1888,NA
Pseudocheirus.peregrinus,1785,NA
Pseudochirops.archeri,1884,NA
Pseudochirulus.cinereus,1945,NA
Pseudochirulus.herbertensis,1884,NA
Pseudomys.albocinereus,1845,NA
Pseudomys.apodemoides,1932,NA
Pseudomys.australis,1832,NA
Pseudomys.bolami,1932,NA
Pseudomys.calabyi,1987,NA
Pseudomys.chapmani,1980,NA
Pseudomys.delicatulus,1842,NA
Pseudomys.desertor,1932,NA
Pseudomys.fieldi,1896,NA
Pseudomys.fumeus,1934,NA
Pseudomys.gracilicaudatus,1845,NA
Pseudomys.hermannsburgensis,1896,NA
Pseudomys.higginsi,1897,NA
Pseudomys.johnsoni,1985,NA
Pseudomys.nanus,1858,NA
Pseudomys.novaehollandiae,1843,NA
Pseudomys.occidentalis,1951,NA
Pseudomys.oralis,1921,NA
Pseudomys.patrius,1909,NA
Pseudomys.pilligaensis,1980,NA
Pseudomys.shortridgei,1907,NA
Pteropus.alecto,1837,NA
Pteropus.conspicillatus,1850,NA
Pteropus.poliocephalus,1825,NA
Pteropus.scapulatus,1862,NA
Rattus.colletti,1904,NA
Rattus.fuscipes,1839,NA
Rattus.leucopus,1867,NA
Rattus.lutreolus,1841,NA
Rattus.sordidus,1858,NA
Rattus.tunneyi,1904,NA
Rattus.villosissimus,1898,NA
Rhinolophus.megaphyllus,1834,NA
Rhinolophus.philippinensis,1843,NA
Rhinonicteris.aurantia,1845,NA
Saccolaimus.flaviventris,1867,NA
Saccolaimus.mixtus,1925,NA
Saccolaimus.saccolaimus,1838,NA
Sarcophilus.harrisii,1841,NA
Scoteanax.rueppellii,1866,NA
Scotorepens.balstoni,1906,NA
Scotorepens.greyii,1843,NA
Scotorepens.orion,1937,NA
Scotorepens.sanborni,1937,NA
Setonix.brachyurus,1830,NA
Sminthopsis.aitkeni,1984,NA
Sminthopsis.archeri,1986,NA
Sminthopsis.bindi,1994,NA
Sminthopsis.butleri,1979,NA
Sminthopsis.crassicaudata,1844,NA
Sminthopsis.dolichura,1984,NA
Sminthopsis.douglasi,1979,NA
Sminthopsis.fuliginosus,1852,NA
Sminthopsis.gilberti,1984,NA
Sminthopsis.granulipes,1932,NA
Sminthopsis.griseoventer,1984,NA
Sminthopsis.hirtipes,1898,NA
Sminthopsis.leucopus,1842,NA
Sminthopsis.longicaudata,1909,NA
Sminthopsis.macroura,1845,NA
Sminthopsis.murina,1838,NA
Sminthopsis.ooldea,1965,NA
Sminthopsis.psammophila,1895,NA
Sminthopsis.virginiae,1847,NA
Sminthopsis.youngsoni,1982,NA
Spilocuscus.maculatus,1803,NA
Syconycteris.australis,1867,NA
Tachyglossus.aculeatus,1792,NA
Tadarida.australis,1838,NA
Tadarida.jobensis,1902,NA
Taphozous.australis,1854,NA
Taphozous.georgianus,1915,NA
Taphozous.hilli,1980,NA
Taphozous.kapalgensis,1979,NA
Taphozous.troughtoni,1952,NA
Tarsipes.rostratus,1842,NA
Thylogale.billardierii,1822,NA
Thylogale.stigmatica,1860,NA
Thylogale.thetis,1827,NA
Trichosurus.caninus,1836,NA
Trichosurus.cunninghami,2002,NA
Trichosurus.vulpecula,1792,NA
