species,description_year,extinction_year
Alectoris.graeca,1804,NA
Alectoris.magna,1876,NA
Alectoris.melanocephala,1835,NA
Alectoris.philbyi,1934,NA
Alectoris.rufa,1758,NA
Alectrurus.risora,1824,NA
Alectrurus.tricolor,1816,NA
Alethe.choloensis,1927,NA
Alethe.diademata,1850,NA
Alethe.fuelleborni,1900,NA
Alethe.poliocephala,1850,NA
Alethe.poliophrys,1902,NA
Alipiopsitta.xanthops,1824,NA
Alle.alle,1758,NA
Alophoixus.bres,1832,NA
Alophoixus.finschii,1871,NA
Alophoixus.flaveolus,1836,NA
Alophoixus.ochraceus,1854,NA
Alophoixus.pallidus,1870,NA
Alophoixus.phaeocephalus,1844,NA
Alopochelidon.fucata,1822,NA
Alopochen.aegyptiaca,1766,NA
Amadina.erythrocephala,1758,NA
Amadina.fasciata,1789,NA
Amandava.amandava,1758,NA
Amandava.formosa,1790,NA
Amandava.subflava,1819,NA
Amaurolimnas.concolor,1847,NA
Amaurornis.akool,1832,NA
Amaurornis.bicolor,1872,NA
Amaurornis.flavirostra,1837,NA
Amaurornis.phoenicurus,1769,NA
Amaurospiza.carrizalensis,2003,NA
Amaurospiza.concolor,1861,NA
Amaurospiza.moesta,1853,NA
Amazilia.amabilis,1853,NA
Amazilia.amazilia,1860,NA
Amazilia.beryllina,1830,NA
Amazilia.boucardi,1877,NA
Amazilia.brevirostris,1829,NA
Amazilia.candida,1846,NA
Amazilia.castaneiventris,1856,NA
Amazilia.chionogaster,1845,NA
Amazilia.cyanifrons,1843,NA
Amazilia.cyanocephala,1829,NA
Amazilia.cyanura,1859,NA
Amazilia.decora,1891,NA
Amazilia.edward,1846,NA
Amazilia.fimbriata,1788,NA
Amazilia.franciae,1846,NA
Amazilia.lactea,1829,NA
Amazilia.leucogaster,1788,NA
Amazilia.luciae,1867,NA
Amazilia.rosenbergi,1895,NA
Amazilia.rutila,1842,NA
Amazilia.saucerrottei,1846,NA
Amazilia.tobaci,1788,NA
Amazilia.tzacatl,1833,NA
Amazilia.versicolor,1818,NA
Amazilia.violiceps,1859,NA
Amazilia.viridicauda,1883,NA
Amazilia.viridifrons,1871,NA
Amazilia.viridigaster,1843,NA
Amazilia.yucatanensis,1845,NA
Amazona.aestiva,1758,NA
Amazona.albifrons,1788,NA
Amazona.amazonica,1766,NA
Amazona.auropalliata,1842,NA
Amazona.autumnalis,1758,NA
Amazona.barbadensis,1788,NA
Amazona.brasiliensis,1758,NA
Amazona.dufresniana,1812,NA
