species,description_year,extinction_year
Anotomys.leander,1906,NA
Anoura.caudifer,1818,NA
Anoura.cultrata,1960,NA
Anoura.fistulata,2005,NA
Anoura.geoffroyi,1838,NA
Anoura.latidens,1984,NA
Anoura.luismanueli,1994,NA
Anourosorex.assamensis,1875,NA
Anourosorex.schmidi,1963,NA
Anourosorex.squamipes,1872,NA
Anourosorex.yamashinai,1935,NA
Antechinomys.laniger,1856,NA
Antechinus.adustus,1923,NA
Antechinus.agilis,1998,NA
Antechinus.bellus,1904,NA
Antechinus.flavipes,1838,NA
Antechinus.godmani,1923,NA
Antechinus.leo,1980,NA
Antechinus.minimus,1803,NA
Antechinus.stuartii,1841,NA
Antechinus.subtropicus,2000,NA
Antechinus.swainsonii,1840,NA
Antidorcas.marsupialis,1780,NA
Antilocapra.americana,1815,NA
Antilope.cervicapra,1758,NA
Antrozous.pallidus,1856,NA
Aonyx.capensis,1821,NA
Aonyx.cinerea,1815,NA
Aonyx.congicus,1910,NA
Aotus.azarae,1811,NA
Aotus.brumbacki,1983,NA
Aotus.griseimembra,1912,NA
Aotus.jorgehernandezi,2007,NA
Aotus.lemurinus,1846,NA
Aotus.miconax,1927,NA
Aotus.nancymaae,1983,NA
Aotus.nigriceps,1909,NA
Aotus.trivirgatus,1812,NA
Aotus.vociferans,1823,NA
Aotus.zonalis,1914,NA
Aplodontia.rufa,1817,NA
Apodemus.agrarius,1771,NA
Apodemus.alpicola,1952,NA
Apodemus.argenteus,1844,NA
Apodemus.chevrieri,1868,NA
Apodemus.draco,1900,NA
Apodemus.epimelas,1902,NA
Apodemus.flavicollis,1834,NA
Apodemus.gurkha,1924,NA
Apodemus.hyrcanicus,1992,NA
Apodemus.latronum,1911,NA
Apodemus.mystacinus,1877,NA
Apodemus.pallipes,1900,NA
Apodemus.peninsulae,1907,NA
Apodemus.ponticus,1936,NA
Apodemus.rusiges,1913,NA
Apodemus.semotus,1908,NA
Apodemus.speciosus,1844,NA
Apodemus.sylvaticus,1758,NA
Apodemus.uralensis,1811,NA
Apodemus.witherbyi,1902,NA
Arabitragus.jayakari,1894,NA
Arborimus.albipes,1901,NA
Arborimus.longicaudus,1890,NA
Arborimus.pomo,1991,NA
Arctictis.binturong,1821,NA
Arctocebus.aureus,1902,NA
Arctocebus.calabarensis,1860,NA
Arctocephalus.australis,1783,NA
Arctocephalus.forsteri,1828,NA
Arctocephalus.galapagoensis,1904,NA
Arctocephalus.gazella,1875,NA
Arctocephalus.philippii,1872,NA
Arctocephalus.pusillus,1775,NA
Arctocephalus.townsendi,1897,NA
Arctocephalus.tropicalis,1872,NA
Arctogalidia.trivirgata,1832,NA
Arctonyx.collaris,1825,NA
Ardops.nichollsi,1891,NA
Arielulus.aureocollaris,1996,NA
Arielulus.circumdatus,1840,NA
Arielulus.societatis,1972,NA
Arielulus.torquatus,1999,NA
Artibeus.amplus,1987,NA
Artibeus.anderseni,1916,NA
Artibeus.aztecus,1906,NA
Artibeus.cinereus,1856,NA
Artibeus.concolor,1865,NA
Artibeus.fimbriatus,1838,NA
Artibeus.fraterculus,1924,NA
Artibeus.glaucus,1893,NA
Artibeus.gnomus,1987,NA
Artibeus.hirsutus,1906,NA
Artibeus.inopinatus,1964,NA
Artibeus.jamaicensis,1821,NA
Artibeus.lituratus,1818,NA
Artibeus.obscurus,1821,NA
Artibeus.phaeotis,1902,NA
Artibeus.planirostris,1823,NA
Artibeus.rosenbergii,1897,NA
Artibeus.toltecus,1860,NA
Artibeus.watsoni,1901,NA
Arvicanthis.abyssinicus,1842,NA
Arvicanthis.ansorgei,1910,NA
Arvicanthis.blicki,1914,NA
Arvicanthis.nairobae,1909,NA
Arvicanthis.neumanni,1894,NA
Arvicanthis.niloticus,1803,NA
Arvicanthis.rufinus,1853,NA
Arvicola.amphibius,1758,NA
Arvicola.sapidus,1908,NA
Arvicola.scherman,1801,NA
Asellia.patrizii,1931,NA
Asellia.tridens,1813,NA
Aselliscus.stoliczkanus,1871,NA
Atelerix.albiventris,1841,NA
Atelerix.algirus,1842,NA
Atelerix.frontalis,1831,NA
Atelerix.sclateri,1895,NA
Ateles.belzebuth,1806,NA
Ateles.chamek,1812,NA
Ateles.fusciceps,1866,NA
Ateles.geoffroyi,1820,NA
Ateles.hybridus,1829,NA
Ateles.marginatus,1809,NA
Ateles.paniscus,1758,NA
Atelocynus.microtis,1883,NA
Atherurus.africanus,1842,NA
Atherurus.macrourus,1758,NA
Atilax.paludinosus,1829,NA
Atlantoxerus.getulus,1758,NA
Auliscomys.boliviensis,1846,NA
Auliscomys.pictus,1884,NA
Auliscomys.sublimis,1900,NA
Avahi.betsileo,2007,NA
Avahi.cleesei,2005,NA
Avahi.meridionalis,2006,NA
Axis.axis,1777,NA
Axis.calamianensis,1888,NA
Axis.kuhlii,1836,NA
Axis.porcinus,1780,NA
Babyrousa.celebensis,1909,NA
Baiomys.musculus,1892,NA
Baiomys.taylori,1887,NA
Balaena.mysticetus,1758,NA
Balaenoptera.acutorostrata,1804,NA
Balaenoptera.bonaerensis,1867,NA
Balaenoptera.borealis,1828,NA
Balaenoptera.edeni,1879,NA
Balaenoptera.musculus,1758,NA
Balaenoptera.omurai,2003,NA
Balaenoptera.physalus,1758,NA
Balantiopteryx.infusca,1897,NA
Balantiopteryx.io,1904,NA
Balantiopteryx.plicata,1867,NA
Balionycteris.maculata,1893,NA
Bandicota.bengalensis,1835,NA
Bandicota.indica,1800,NA
Bandicota.savilei,1916,NA
Barbastella.barbastellus,1774,NA
Barbastella.leucomelas,1826,NA
Bassaricyon.alleni,1880,NA
Bassaricyon.beddardi,1921,NA
Bassaricyon.gabbii,1876,NA
Bassaricyon.lasius,1932,NA
Bassaricyon.pauli,1936,NA
Bassariscus.astutus,1830,NA
Bassariscus.sumichrasti,1860,NA
Bathyergus.janetta,1904,NA
Bathyergus.suillus,1782,NA
Bauerus.dubiaquercus,1959,NA
Bdeogale.crassicauda,1852,NA
Bdeogale.jacksoni,1894,NA
Bdeogale.nigripes,1855,NA
Bdeogale.omnivora,1913,NA
Beamys.hindei,1909,NA
Beatragus.hunteri,1889,NA
Belomys.pearsonii,1842,NA
Berardius.arnuxii,1851,NA
Berardius.bairdii,1883,NA
Berylmys.berdmorei,1851,NA
Berylmys.bowersi,1879,NA
Berylmys.mackenziei,1916,NA
Berylmys.manipulus,1916,NA
Bettongia.lesueur,1824,NA
Bettongia.penicillata,1837,NA
Bettongia.tropica,1967,NA
Bibimys.chacoensis,1931,NA
Bibimys.labiosus,1887,NA
Bibimys.torresi,1979,NA
Bison.bison,1758,NA
Bison.bonasus,1758,NA
Biswamoyopterus.biswasi,1981,NA
Blanfordimys.afghanus,1912,NA
Blanfordimys.bucharensis,1930,NA
Blarina.brevicauda,1823,NA
Blarina.carolinensis,1837,NA
Blarina.hylophaga,1899,NA
Blarinella.griselda,1912,NA
Blarinella.quadraticauda,1872,NA
Blarinella.wardi,1915,NA
Blarinomys.breviceps,1887,NA
Blastocerus.dichotomus,1815,NA
Bos.gaurus,1827,NA
Bos.javanicus,1823,NA
Bos.mutus,1883,NA
Bos.sauveli,1937,NA
Boselaphus.tragocamelus,1766,NA
Brachiones.przewalskii,1889,NA
Brachylagus.idahoensis,1891,NA
Brachyphylla.cavernarum,1834,NA
Brachyphylla.nana,1902,NA
Brachyteles.arachnoides,1806,NA
Brachyteles.hypoxanthus,1820,NA
Bradypus.torquatus,1811,NA
Bradypus.tridactylus,1758,NA
Bradypus.variegatus,1825,NA
Brucepattersonius.albinasus,1998,NA
Brucepattersonius.griserufescens,1998,NA
Brucepattersonius.guarani,2000,NA
Brucepattersonius.igniventris,1998,NA
Brucepattersonius.iheringi,1896,NA
Brucepattersonius.misionensis,2000,NA
Brucepattersonius.paradisus,2000,NA
Brucepattersonius.soricinus,1998,NA
Bubalus.arnee,1792,NA
Bubalus.mindorensis,1888,NA
Budorcas.taxicolor,1850,NA
Bunolagus.monticularis,1903,NA
Bunomys.prolatus,1991,NA
Burramys.parvus,1896,NA
Cabassous.centralis,1899,NA
Cabassous.chacoensis,1980,NA
Cabassous.tatouay,1804,NA
Cabassous.unicinctus,1758,NA
Cacajao.ayresi,2008,NA
Cacajao.calvus,1847,NA
Cacajao.hosomi,2008,NA
Cacajao.melanocephalus,1811,NA
Caenolestes.caniventer,1921,NA
Caenolestes.condorensis,1996,NA
Caenolestes.convelatus,1924,NA
Caenolestes.fuliginosus,1863,NA
Calcochloris.leucorhinus,1885,NA
Calcochloris.obtusirostris,1851,NA
Calcochloris.tytonis,1968,NA
Callibella.humilis,1998,NA
Callicebus.aureipalatii,2006,NA
Callicebus.baptista,1939,NA
Callicebus.barbarabrownae,1990,NA
Callicebus.bernhardi,2002,NA
Callicebus.brunneus,1842,NA
Callicebus.caligatus,1842,NA
Callicebus.cinerascens,1823,NA
Callicebus.coimbrai,1999,NA
Callicebus.cupreus,1823,NA
Callicebus.discolor,1848,NA
Callicebus.donacophilus,1836,NA
Callicebus.dubius,1990,NA
Callicebus.hoffmannsi,1908,NA
Callicebus.lucifer,1914,NA
Callicebus.lugens,1811,NA
Callicebus.medemi,1963,NA
