species,description_year,extinction_year
Bairdiella.ronchus,1830,NA
Bathygobius.cocosensis,1854,NA
Bathygobius.soporator,1837,NA
Batrachoides.goldmani,1902,NA
Bellator.egretta,1896,NA
Bellator.militaris,1896,NA
Belone.belone,1761,NA
Belonesox.belizanus,1860,NA
Boreogadus.saida,1774,NA
Bostrychus.sinensis,1801,NA
Brachyrhaphis.hartwegi,1963,NA
Bramocharax.caballeroi,1985,NA
Brevoortia.gunteri,1948,NA
Brevoortia.smithi,1941,NA
Brevoortia.tyrannus,1802,NA
Brycon.guatemalensis,1908,NA
Campostoma.anomalum,1820,NA
Campostoma.oligolepis,1935,NA
Campostoma.ornatum,1856,NA
Campostoma.pullum,1854,NA
Cantherhines.verecundus,1925,NA
Carangoides.ferdau,1775,NA
Caranx.caballus,1868,NA
Caranx.caninus,1867,NA
Caranx.hippos,1766,NA
Caranx.ignobilis,1775,NA
Caranx.latus,1831,NA
Caranx.melampygus,1833,NA
Caranx.sexfasciatus,1825,NA
Carcharhinus.brachyurus,1870,NA
Carcharhinus.leucas,1839,NA
Carcharhinus.limbatus,1839,NA
Carcharhinus.melanopterus,1824,NA
Carcharhinus.obscurus,1818,NA
Carcharhinus.plumbeus,1827,NA
Carcharhinus.porosus,1839,NA
Carcharodon.carcharias,1758,NA
Carlhubbsia.kidderi,1936,NA
Carpiodes.carpio,1820,NA
Carpiodes.cyprinus,1817,NA
Carpiodes.velifer,1820,NA
Cathorops.aguadulce,1904,NA
Cathorops.dasycephalus,1864,NA
Cathorops.fuerthii,1876,NA
Cathorops.liropus,1897,NA
Cathorops.raredonae,2009,NA
Catostomus.ardens,1881,NA
Catostomus.bernardini,1856,NA
Catostomus.cahita,1986,NA
Catostomus.clarkii,1854,NA
Catostomus.columbianus,1893,NA
Catostomus.commersonii,1803,NA
Catostomus.fumeiventris,1973,NA
Catostomus.insignis,1854,NA
Catostomus.latipinnis,1853,NA
Catostomus.leopoldi,1986,NA
Catostomus.macrocheilus,1856,NA
Catostomus.microps,1908,NA
Catostomus.platyrhynchus,1874,NA
Catostomus.plebeius,1854,NA
Catostomus.rimiculus,1898,NA
Catostomus.santaanae,1908,NA
Catostomus.snyderi,1898,NA
Catostomus.tahoensis,1878,NA
Catostomus.warnerensis,1908,NA
Catostomus.wigginsi,1936,NA
Caulolatilus.affinis,1865,NA
Centrarchus.macropterus,1801,NA
Centropomus.armatus,1863,NA
Centropomus.ensiferus,1860,NA
Centropomus.parallelus,1860,NA
Centropomus.pectinatus,1860,NA
Centropomus.robalito,1882,NA
Centropomus.undecimalis,1792,NA
Centropomus.undecimalis,1802,NA
Cetengraulis.mysticetus,1867,NA
Chaetodipterus.faber,1782,NA
Chanos.chanos,1775,NA
Chapalichthys.encaustus,1899,NA
Chapalichthys.pardalis,1963,NA
Chapalichthys.peraticus,1963,NA
Characodon.audax,1986,NA
Characodon.lateralis,1866,NA
Chasmistes.brevirostris,1879,NA
Chasmistes.cujus,1883,NA
Chasmistes.fecundus,1875,NA
Chasmodes.bosquianus,1800,NA
Chasmodes.saburrae,1882,NA
Chilara.taylori,1858,NA
Chirostoma.aculeatum,1973,NA
Chirostoma.arge,1899,NA
Chirostoma.attenuatum,1902,NA
Chirostoma.chapalae,1899,NA
Chirostoma.compressum,1940,NA
Chirostoma.consocium,1919,NA
Chirostoma.contrerasi,2002,NA
Chirostoma.estor,1880,NA
Chirostoma.humboldtianum,1835,NA
Chirostoma.jordani,1895,NA
Chirostoma.labarcae,1902,NA
Chirostoma.lucius,1900,NA
Chirostoma.melanoccus,1963,NA
Chirostoma.mezquital,1904,NA
Chirostoma.promelas,1899,NA
Chirostoma.reseratum,1963,NA
Chirostoma.riojai,1966,NA
Chirostoma.sphyraena,1900,NA
Chlorophthalmus.agassizi,1840,NA
Chloroscombrus.chrysurus,1766,NA
Chloroscombrus.orqueta,1883,NA
Chologaster.cornuta,1853,NA
Chriodorus.atherinoides,1882,NA
Cichlasoma.aguadae,1936,NA
Cichlasoma.alborum,1936,NA
Cichlasoma.amarum,1936,NA
Cichlasoma.beani,1889,NA
Cichlasoma.cienagae,1936,NA
Cichlasoma.conchitae,1936,NA
Cichlasoma.ericymba,1938,NA
Cichlasoma.geddesi,1905,NA
Cichlasoma.grammodes,1980,NA
Cichlasoma.istlanum,1899,NA
Cichlasoma.mayorum,1936,NA
Cichlasoma.nebuliferus,1860,NA
Cichlasoma.salvini,1862,NA
Cichlasoma.stenozonum,1936,NA
Cichlasoma.trimaculatum,1867,NA
Cichlasoma.troschelii,1867,NA
Cichlasoma.urophthalmum,1862,NA
Cichlasoma.zebra,1936,NA
Citharichthys.gilberti,1889,NA
Citharichthys.spilopterus,1862,NA
Citharichthys.uhleri,1889,NA
Clarias.batrachus,1758,NA
Clevelandia.ios,1882,NA
Clinocottus.acuticeps,1896,NA
Clinostomus.elongatus,1840,NA
Clinostomus.funduloides,1856,NA
Clupeonella.grimmi,1877,NA
Codoma.ornata,1856,NA
Colpichthys.hubbsi,1989,NA
Colpichthys.regis,1889,NA
Conger.cinereus,1830,NA
Coregonus.artedi,1818,NA
Coregonus.autumnalis,1776,NA
Coregonus.clupeaformis,1818,NA
Coregonus.hoyi,1874,NA
Coregonus.huntsmani,1987,NA
Coregonus.kiyi,1921,NA
Coregonus.laurettae,1881,NA
Coregonus.nasus,1776,NA
Coregonus.nelsonii,1884,NA
Coregonus.pidschian,1789,NA
Coregonus.sardinella,1848,NA
Coregonus.zenithicus,1909,NA
Coryphaena.hippurus,1758,NA
Cottus.aleuticus,1896,NA
Cottus.asper,1836,NA
Cottus.asperrimus,1908,NA
Cottus.baileyi,1961,NA
Cottus.bairdii,1850,NA
Cottus.beldingii,1891,NA
Cottus.bendirei,1881,NA
